model_setup,mae,mse,rmse,rmse_skill,imbalance_costs,METER_SCEN,train_ratio
prediction_additive,2.3591041787412954,15.254945793684207,3.905758030611242,0.38935026945174767,115.57674749108833,1,0.1
prediction_integrated,4.403227277159719,46.13616759152148,6.792360973293563,-0.06195861741057862,213.1141726541936,1,0.1
prediction_direct,4.107380450542398,41.176417533652234,6.416885345216341,-0.0032544966443188716,194.81839902562513,1,0.1
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.1
prediction_additive,2.2869518044860495,14.916790902756608,3.862226158934327,0.39615630441382876,112.12510147183563,1,0.2
prediction_integrated,4.16523238032846,40.857317513735914,6.391972896824259,0.0006404655573055695,200.8436408274979,1,0.2
prediction_direct,3.972914079183484,38.71156462874434,6.221861829769634,0.02723665417064014,187.00915984777654,1,0.2
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.2
prediction_additive,2.2625987263205434,14.693578852930326,3.833220428429642,0.4006912349902294,110.0359299789101,1,0.5
prediction_integrated,3.518534197704592,33.14643597722846,5.757294154134254,0.09986996215459021,175.89598141586484,1,0.5
prediction_direct,3.4036298496679627,30.219200939435527,5.497199372356394,0.1405347465997241,168.90479422406165,1,0.5
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.5
prediction_additive,2.240581753054853,14.587459093173528,3.81935322969394,0.40285931634730476,109.08177982727739,1,0.8
prediction_integrated,3.8127911026592596,36.6948431870536,6.057626860995451,0.052914138193596916,184.9710433022556,1,0.8
prediction_direct,3.556090584055665,30.865272136837916,5.555652269251372,0.13139586870228892,170.0776679042699,1,0.8
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.8
prediction_additive,2.4192672653530747,16.1887544283016,4.023525124601759,0.3709378527968671,112.61315910008761,2,0.1
prediction_integrated,5.298926478851286,66.42089225669827,8.149901364844746,-0.27420465718364806,259.3400085199687,2,0.1
prediction_direct,4.499494991417369,48.77434667460515,6.983863305836187,-0.09189924528613957,222.88284929749054,2,0.1
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.1
prediction_additive,2.342457966657639,15.542104286140983,3.9423475602920885,0.3836296420433468,107.58202771903414,2,0.2
prediction_integrated,4.656096515314196,52.043279124533285,7.214102794147951,-0.1278962733655118,234.44622704425743,2,0.2
prediction_direct,4.174133147014069,42.40402493557054,6.511837293388905,-0.018099856011738247,210.2439375804088,2,0.2
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.2
prediction_additive,2.346834873241236,15.00077786640487,3.8730837670265887,0.39445876058137064,107.50330371202462,2,0.5
prediction_integrated,4.630179638558133,54.00315690851591,7.348684025627712,-0.1489375135283355,226.90838699023408,2,0.5
prediction_direct,3.8186537556457463,36.57047770478978,6.047352950241104,0.05452042326928486,183.32203178468905,2,0.5
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.5
prediction_additive,2.3374210287309247,14.852324289713621,3.85387133798128,0.397462547433435,107.33203234395376,2,0.8
prediction_integrated,4.731678900167052,53.669054773986154,7.325916650767066,-0.14537792504001112,232.8745495756208,2,0.8
prediction_direct,3.9566318154775444,37.65827688046094,6.136634002485478,0.04056168592078613,190.70771958170474,2,0.8
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.8
