model_setup,mae,mse,rmse,rmse_skill,imbalance_costs,METER_SCEN,train_ratio
prediction_additive,2.286824513107584,15.101497698647774,3.8860645515286767,0.3924292665634669,112.51315160000684,1,0.3
prediction_integrated,3.598292443532531,35.40213380632521,5.94996922734271,0.06974598094121853,176.35042959030346,1,0.3
prediction_direct,3.3876234327165746,30.012427009767357,5.47835988319199,0.1434802257850052,162.61360591154812,1,0.3
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.3
prediction_additive,2.2903562620928333,15.201928086158919,3.8989650019151134,0.3904123324649672,112.09914970341505,1,0.4
prediction_integrated,3.8811336645466983,36.08769193590938,6.007303216578083,0.06078203980522412,185.38124357665856,1,0.4
prediction_direct,3.6289461222076493,30.78209694911939,5.548161582823575,0.1325670077264951,171.60029100929336,1,0.4
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.4
prediction_additive,2.2489652653521968,14.378557482964291,3.791906839963805,0.4071504501968346,109.0202534275042,1,0.6
prediction_integrated,3.5396944021155092,33.26839076013559,5.7678757580356725,0.09821557047939511,176.70838499526187,1,0.6
prediction_direct,3.401273700842258,29.938097225621796,5.471571732657975,0.14454152611698412,168.60817577776652,1,0.6
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.6
prediction_additive,2.243625865964498,14.562529554280802,3.8160882529470936,0.4033697824732352,107.47500277898578,1,0.7
prediction_integrated,3.5751537236147097,34.22531805277114,5.850240854253022,0.08533811534328306,178.64740523949882,1,0.7
prediction_direct,3.3896523184784093,29.947981575083563,5.4724749040158756,0.14440031886809201,166.1937050246358,1,0.7
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.7
prediction_additive,2.2424478520603364,14.520858449292101,3.8106244172434653,0.4042240314497543,109.33619291619048,1,0.9
prediction_integrated,3.762550957913904,35.58223379818688,5.965084559181611,0.06738275893866963,183.54155015073513,1,0.9
prediction_direct,3.5792366763601944,31.27629011690624,5.592520908937779,0.12563160355484926,171.3289268272072,1,0.9
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1,0.9
prediction_additive,2.3456295048837044,15.204008622659835,3.8992317990419387,0.39037061979553656,108.58456493222263,2,0.3
prediction_integrated,4.393770087375852,49.654644030774286,7.046605142249301,-0.10170868181535919,220.42844698753385,2,0.3
prediction_direct,3.528259585266681,31.376129018154398,5.601439905788011,0.12423715387807222,173.32925490443506,2,0.3
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.3
prediction_additive,2.3259662787991173,14.975574542618302,3.869828748487238,0.39496766978117404,107.67733988330107,2,0.4
prediction_integrated,4.422791440822942,47.21207558434748,6.871104393352461,-0.07426983788674546,216.30816425216153,2,0.4
prediction_direct,3.595078157339738,31.00386383099318,5.568111334285009,0.12944794344781974,171.85494468324492,2,0.4
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.4
prediction_additive,2.3582002938250417,15.173661449081072,3.89533842548771,0.39097933326246925,108.15355200522146,2,0.6
prediction_integrated,4.6157588421175175,54.25361783798378,7.365705522078913,-0.1515987567850834,229.04818426035914,2,0.6
prediction_direct,3.7675554957112642,36.08776660626977,6.007309431540027,0.060781068120647985,183.13364400130047,2,0.6
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.6
prediction_additive,2.3568961346926924,15.075434133385706,3.88270963804734,0.3929537939400567,107.8604212723837,2,0.7
prediction_integrated,4.692453954242707,55.70612433457552,7.4636535513497355,-0.16691254151347334,232.79678798179617,2,0.7
prediction_direct,3.789731604691436,36.63185595607123,6.052425625819059,0.05372733062233648,182.91958697513513,2,0.7
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.7
prediction_additive,2.356426681087029,15.048438051894891,3.8792316316372357,0.3934975664063819,108.49090287261947,2,0.9
prediction_integrated,4.619498110173934,50.343680029591276,7.095328042422794,-0.1093263134323943,223.11235602295952,2,0.9
prediction_direct,3.853225610699646,35.09446736973491,5.924058352998804,0.07379704306856183,185.54756483697003,2,0.9
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2,0.9
